,elem,model,a,cohesive-energy,c11,c12,bulk,shear,volume,bulk*volume,shear*volume,formation-energy,migration-energy,relaxation-volume,edt11,spedt11,spedt33,spdst11,spdst33,ln_a,ln_cohesive-energy,ln_c11,ln_c12,ln_bulk,ln_shear,ln_volume,ln_bulk*volume,ln_shear*volume,ln_formation-energy,ln_migration-energy,ln_relaxation-volume,ln_edt11,ln_spedt11,ln_spedt33,ln_spdst11,ln_spdst33,ln_neg_spdst33,a-1
33,Cu,EAM_Dynamo_Mendelev_King_Cu__MO_748636486270_001,3.63902985156,3.42271916296,1.08681149388,0.793857525514,0.891508848303,0.146476984184,48.1899920405,42.9618043038,7.05872470193,1.10556931913,0.916558884844,3.51950586048,3.1376708646,4.60938077121,-0.887473550682,7.29287224744,-11.4706948727,1.29171712183,1.23043531206,0.0832481744079,-0.230851272735,-0.114839916542,-1.92088696742,3.87515136548,3.76031144894,1.95426439807,0.100360423222,-0.0871289640732,1.25832059921,1.14348076181,1.52809352504,-100.0,1.9868974667,-100.0,2.43979551106,0.274798515206
34,Cu,EAM_Dynamo_Mendelev_Kramer_CuZr__MO_600021860456_001,3.63908511817,3.28311623196,1.10643547794,0.802262507327,0.903653497532,0.152086485307,48.1921876845,43.5490389548,7.32938044417,1.04820040089,0.986879961827,3.55099348528,3.20886807301,3.9240289516,-1.83706629747,7.05248742822,-11.8876722377,1.2917323089,1.18879304208,0.101143566961,-0.220319408802,-0.101309291259,-1.88330593766,3.87519692669,3.77388763543,1.99189098902,0.047074789842,-0.0132068661676,1.26722741934,1.16591824972,1.36711891976,-100.0,1.95338038129,-100.0,2.47550191675,0.274794341854
35,Cu,EAM_Dynamo_Mendelev_Kramer_Cu__MO_945691923444_001,3.63908743858,3.28311620916,1.08899726004,0.797902917767,0.89493436519,0.145547171135,48.1922798717,43.128927394,7.01425000585,1.048194224,0.986675578684,3.5906305851,3.21337868236,3.91944590902,-1.84859264271,7.34873177881,-12.4662748701,1.29173294653,1.18879303514,0.0852573279108,-0.225768345867,-0.11100489838,-1.92725504467,3.87519883959,3.76419394121,1.94794379492,0.0470688969687,-0.0134139879234,1.27832783752,1.16732293262,1.36595029407,-100.0,1.99452775124,-100.0,2.52302698773,0.274794166636
36,Cu,EAM_Dynamo_Mendelev_Sordelet_CuZr__MO_120596890176_001,3.6390851295,3.28311623202,1.10657989415,0.802304897746,0.903729896549,0.152137498205,48.1921881346,43.5527211973,7.33183893581,1.04820044293,0.986882035921,3.55094258472,3.20909283702,3.92436967739,-1.8366567457,7.05037093489,-11.8832363884,1.29173231201,1.1887930421,0.10127408229,-0.22026657161,-0.101224750239,-1.88297057358,3.87519693603,3.77397218579,1.99222636244,0.0470748299478,-0.0132047645022,1.26721308507,1.16598829191,1.36720574659,-100.0,1.95308023032,-100.0,2.4751287001,0.274794340999
37,Cu,EAM_Dynamo_Mishin_Mehl_Cu__MO_346334655118_001,3.61500004445,3.53999996838,1.06031129109,0.765235061976,0.863593805015,0.147538114559,47.2416351176,40.7975834264,6.96994177392,1.27228743116,0.688847644969,3.53113770533,3.04946866414,3.73561157901,-1.6643095821,6.84715495062,-11.4529344332,1.28509186791,1.26412671821,0.0585625358539,-0.267572221797,-0.14665275381,-1.9136687328,3.85527560372,3.70862284991,1.94160687092,0.240816407284,-0.372735157283,1.26162011515,1.11496736696,1.31791154789,-100.0,1.92383323032,-100.0,2.43824597954,0.276625169489
38,Cu,EAM_Dynamo_Onat_Durukanoglu_CuNi__MO_592013496703_001,3.61500176721,3.54000010916,1.06244359155,0.765212527386,0.864289548775,0.148615532084,47.2417026579,40.8305098736,7.02085077705,1.22513887691,0.656045859617,3.75950060014,3.24929689096,3.43589453824,-1.60012994512,6.32542468759,-10.6177201522,1.28509234447,1.26412675798,0.0605715301046,-0.267601670162,-0.145847440423,-1.90639262939,3.8552770334,3.70942959297,1.94888440401,0.203054206481,-0.421524584529,1.32428612947,1.17843863169,1.23427731047,-100.0,1.84457717664,-100.0,2.36252431784,0.276625037661
39,Cu,EAM_Dynamo_Williams_Mishin_CuAg__MO_128703483589_001,3.61500003116,3.53999996869,1.0603435791,0.765265577595,0.863624911429,0.14753900075,47.2416345966,40.7990524943,6.96998356219,1.27228744402,0.688849810852,3.53097792707,3.04944051357,3.73541199259,-1.66444271048,6.84694771751,-11.4528061466,1.28509186423,1.2641267183,0.0585929868274,-0.267532345146,-0.14661673473,-1.91366272629,3.85527559269,3.70865885796,1.9416128664,0.24081641739,-0.372732013076,1.26157486574,1.11495813562,1.31785811842,-100.0,1.92380296429,-100.0,2.43823477828,0.276625170506
40,Cu,EAM_Dynamo_Wu_Trinkle_CuAg__MO_270337113239_001,3.49212758512,3.3206664741,0.745402115016,0.560825983039,0.622351360365,0.0922880659885,42.5863390019,26.5036660108,3.93021086401,0.842163553949,0.427298993682,3.50918582886,2.1839465144,2.40834330053,-0.985087102049,6.81240251529,-11.5725890516,1.25051117371,1.20016550799,-0.293831454516,-0.578344612239,-0.474250457686,-2.38284044173,3.75153352114,3.27728306345,1.36869307941,-0.171781039008,-0.850271291398,1.25538405298,0.781133567837,0.878939083951,-100.0,1.91874485021,-100.0,2.448639289,0.286358380565
42,Fe,EAM_Dynamo_Ackland_Bacon_Fe__MO_142799717516_001,3.68004467826,4.26183936265,1.16910136895,0.759224075531,0.895849840004,0.20493864671,49.8378471746,44.6472274176,10.2137009549,1.93746920273,1.46292931361,1.78962500318,1.60323540987,5.39024890254,-1.07748715115,6.46334854468,-9.31634064776,1.30292489294,1.44970084236,0.156235392975,-0.275458320478,-0.109982469333,-1.58504462898,3.90877467882,3.79879220948,2.32373004984,0.661382586756,0.380440804817,0.582006102477,0.472023718657,1.68459156243,-100.0,1.86614753407,-100.0,2.23176991724,0.271735831336
43,Fe,EAM_Dynamo_Ackland_Mendelev_FeP__MO_884343146310_001,3.6584048152,3.89240227798,0.529199577852,0.308697558993,0.382198231946,0.110251009429,48.9638185633,18.7138848842,5.39831042211,1.76462182552,0.441785443496,4.01764420458,1.53553668944,1.71760934013,13.4655246478,-12.846026758,40.4319997581,1.29702720956,1.3590265192,-0.636389644452,-1.17539325488,-0.961815873178,-2.20499560888,3.89108162869,2.92926575552,1.68608601982,0.567936404269,-0.816930936714,1.39069571209,0.428879954748,0.540933405464,2.60013268932,-100.0,3.69962154466,,0.273343178383
44,Fe,EAM_Dynamo_Hepburn_Ackland_FeC__MO_143977152728_001,3.65840365425,3.8924022781,0.528865250241,0.308427876831,0.381907001301,0.110218686705,48.9637719491,18.6996073175,5.39672264035,1.76462065143,0.441748291599,4.01524491896,1.53345008584,1.71775023641,13.4664645787,-12.8483468294,40.4489506687,1.29702689223,1.35902651923,-0.637021605013,-1.17626724958,-0.962578152106,-2.20528882581,3.89108067668,2.92850252457,1.68579185087,0.567935738919,-0.817015035137,1.39009834653,0.427520154868,0.541015432558,2.60020248965,-100.0,3.70004070173,,0.273343265126
45,Fe,EAM_Dynamo_Mendelev_Han_Fe_5__MO_942420706858_001,3.65829627514,4.01490489621,0.750819208444,0.463997003885,0.559604405405,0.143411102279,48.9594606163,27.3979298471,7.02133021398,1.70700727289,0.807709274026,3.26848724476,1.82905984008,3.53292669584,0.0372028456438,5.4729275215,-6.71485675036,1.29699754044,1.39001366,-0.286590390628,-0.76787718392,-0.580525163804,-1.94203993206,3.89099262132,3.31046745751,1.94895268926,0.534741704433,-0.213553094582,1.18432726159,0.603802086248,1.26212661975,-3.29137002483,1.69981366915,-100.0,1.90432249696,0.273351288357
